,Method,Parameter,Signal_id,Repetition,0,10,20,30
110,block_thresholding,"((25,), {})",CosChirp,0,0.008162881693753388,0.0,0.0,0.0
111,block_thresholding,"((25,), {})",CosChirp,1,0.0,0.0,0.0,0.0
112,block_thresholding,"((25,), {})",CosChirp,2,0.04970593672269527,0.0,0.0,0.0
113,block_thresholding,"((25,), {})",CosChirp,3,0.007408709337927607,0.0,0.0,0.0
114,block_thresholding,"((25,), {})",CosChirp,4,0.0008639531283051154,0.0,0.0,0.0
80,block_thresholding,"((25,), {})",LinearChirp,0,5.6085829343455575,9.396960282765273,9.365026769286674,9.211069244694079
81,block_thresholding,"((25,), {})",LinearChirp,1,4.985531343928628,8.06689250907532,8.834418213606883,9.038998733312216
82,block_thresholding,"((25,), {})",LinearChirp,2,4.616839894076586,8.963972438128778,9.21361134900497,9.16381644627726
83,block_thresholding,"((25,), {})",LinearChirp,3,4.0162861523558835,7.840649291634747,8.813493943063543,9.036999759867092
84,block_thresholding,"((25,), {})",LinearChirp,4,5.140963843202697,8.660201830819895,9.076605495172595,9.117564920381763
30,contour_filtering,"((), {})",CosChirp,0,2.2875248237596892,12.535277340856286,23.300181424214426,32.04287497329035
31,contour_filtering,"((), {})",CosChirp,1,2.018159921378089,12.112797458119001,22.685342411086197,31.439629342404455
32,contour_filtering,"((), {})",CosChirp,2,2.100747876791285,12.228775042647635,23.004542336314266,31.824909451917122
33,contour_filtering,"((), {})",CosChirp,3,2.3630231201109964,12.474731547807483,23.33715891345137,32.414322101016445
34,contour_filtering,"((), {})",CosChirp,4,2.430011249894463,12.4261758427645,23.20536475647451,31.713126199231525
0,contour_filtering,"((), {})",LinearChirp,0,2.418306924438131,12.596189855432911,23.322682912414297,31.766274157901346
1,contour_filtering,"((), {})",LinearChirp,1,1.8069426221892937,11.93221421424106,22.695023101131415,31.375063837375468
2,contour_filtering,"((), {})",LinearChirp,2,2.247421095445592,12.548387424364133,23.340268629888328,32.16981037794673
3,contour_filtering,"((), {})",LinearChirp,3,2.069437379902614,12.316644954279816,23.241340455147256,32.308392916169765
4,contour_filtering,"((), {})",LinearChirp,4,2.4048709498346454,12.352008148210006,23.243495356842804,32.19052941996031
35,delaunay_triangulation,"((), {})",CosChirp,0,3.4716853760350648,17.408157984582477,26.328189833017632,26.215628455511023
36,delaunay_triangulation,"((), {})",CosChirp,1,3.3419144917763792,16.203559983346153,26.210641693236845,33.98768788320867
37,delaunay_triangulation,"((), {})",CosChirp,2,2.313429645616733,12.603434124230093,25.710121275832677,33.35942965241073
38,delaunay_triangulation,"((), {})",CosChirp,3,1.8863615114364602,13.1225466420222,26.312770057124574,25.025356312305824
39,delaunay_triangulation,"((), {})",CosChirp,4,3.4916010195376694,18.204141126512653,27.129080559244855,36.69848290989874
5,delaunay_triangulation,"((), {})",LinearChirp,0,3.659343677470386,16.89452134417174,26.182197207246368,35.883810235811644
6,delaunay_triangulation,"((), {})",LinearChirp,1,3.4138124961614973,16.73994093185217,26.07990980621102,35.32223358189529
7,delaunay_triangulation,"((), {})",LinearChirp,2,2.9481792648653387,17.14087143424881,26.822936788414697,32.861798115951004
8,delaunay_triangulation,"((), {})",LinearChirp,3,3.697059726073727,16.78495017123716,26.29746797186901,36.04639884303847
9,delaunay_triangulation,"((), {})",LinearChirp,4,3.0488335289119908,18.71452579963431,27.640408093047565,30.73738273090473
40,garrote_thresholding,"((), {})",CosChirp,0,7.333619246407496,17.157353634034706,26.6288022526289,36.257223170879215
41,garrote_thresholding,"((), {})",CosChirp,1,6.186743600962701,15.831310891622232,25.508571790197312,35.32321679284409
42,garrote_thresholding,"((), {})",CosChirp,2,6.514292148599591,16.136369117006414,25.793906246586005,35.587224233407966
43,garrote_thresholding,"((), {})",CosChirp,3,6.324153074587475,16.305210656297355,25.842260371034573,35.427969427333565
44,garrote_thresholding,"((), {})",CosChirp,4,6.706843081424863,16.70327813746393,26.674253005823804,36.59576947501787
10,garrote_thresholding,"((), {})",LinearChirp,0,7.028270374924997,16.686058088900904,26.2454919225377,35.917765135569496
11,garrote_thresholding,"((), {})",LinearChirp,1,5.678113561315275,15.64871135198759,25.610249795818355,35.43348676612684
12,garrote_thresholding,"((), {})",LinearChirp,2,6.828584551034334,16.54014805481165,26.17554047278775,35.76566522668
13,garrote_thresholding,"((), {})",LinearChirp,3,5.993791113694855,15.96466580093484,25.8431170514202,35.483476836032345
14,garrote_thresholding,"((), {})",LinearChirp,4,6.643519458221146,17.106061118949206,26.849876659776406,36.83959612807931
45,hard_thresholding,"((), {})",CosChirp,0,6.928114896923553,19.440222987077064,28.017452563250153,37.16180192430378
46,hard_thresholding,"((), {})",CosChirp,1,5.892390096006833,17.66225930529979,27.053867736083717,36.35406868644315
47,hard_thresholding,"((), {})",CosChirp,2,5.412098697897348,17.927261625199318,27.151607061524665,36.477142855300045
48,hard_thresholding,"((), {})",CosChirp,3,4.161235285861941,18.88614642423481,27.632452093082076,36.55378204753344
49,hard_thresholding,"((), {})",CosChirp,4,4.892295076526437,19.294465118114164,28.473672735361532,37.65164232740835
15,hard_thresholding,"((), {})",LinearChirp,0,7.8955099477511315,19.17337834265759,28.05213539746317,37.11709982824438
16,hard_thresholding,"((), {})",LinearChirp,1,5.644134841171574,18.017288751347962,27.463812416140204,36.808479687189106
17,hard_thresholding,"((), {})",LinearChirp,2,6.673452398788287,19.21108614586569,27.964357251443683,36.99336264356751
18,hard_thresholding,"((), {})",LinearChirp,3,4.046140951162835,17.948276734939725,27.256559652062855,36.55208733252442
19,hard_thresholding,"((), {})",LinearChirp,4,4.957467798215643,19.799225435551982,29.013639431772596,38.23754111364267
55,soft_thresholding,"((), {})",CosChirp,0,7.508562895845337,15.932023023735429,24.951542842756954,34.19635868725694
56,soft_thresholding,"((), {})",CosChirp,1,6.221528246782952,14.496543216964199,23.459298947212453,32.79926085512967
57,soft_thresholding,"((), {})",CosChirp,2,6.437176412147943,14.755475905134102,23.76042137874931,33.049828861546004
58,soft_thresholding,"((), {})",CosChirp,3,6.139527639731175,14.642942253383966,23.5915208979244,32.91981350729811
59,soft_thresholding,"((), {})",CosChirp,4,6.509531206405665,15.019495503786484,24.109445011119725,33.47759295316629
25,soft_thresholding,"((), {})",LinearChirp,0,7.457914127660077,15.984832644784976,25.007050722070495,34.37580512541523
26,soft_thresholding,"((), {})",LinearChirp,1,5.707288407171337,14.307517260179141,23.602323399948894,33.04644961399378
27,soft_thresholding,"((), {})",LinearChirp,2,7.20174252167619,15.704143252899126,24.738788377962983,33.94964644915098
28,soft_thresholding,"((), {})",LinearChirp,3,5.724317215789854,14.271166316630936,23.53524819525802,32.96016437617288
29,soft_thresholding,"((), {})",LinearChirp,4,6.35998628580939,15.21033602694242,24.375322273050912,33.6897215184403
