,SNRin,Method,Parameter,Signal_id,Repetition,QRF
0,0,contour_filtering,"((), {})",CosChirp,0,1.991936363016562
1,0,contour_filtering,"((), {})",CosChirp,1,2.1643919404100704
2,0,contour_filtering,"((), {})",CosChirp,2,2.432343797610167
3,0,contour_filtering,"((), {})",CosChirp,3,2.33675428411964
4,0,contour_filtering,"((), {})",CosChirp,4,2.340632446220028
5,0,contour_filtering,"((), {})",CosChirp,5,2.159726759791152
6,0,contour_filtering,"((), {})",CosChirp,6,2.292434488412821
7,0,contour_filtering,"((), {})",CosChirp,7,2.574327543151668
8,0,contour_filtering,"((), {})",CosChirp,8,1.8084977559953577
9,0,contour_filtering,"((), {})",CosChirp,9,2.3068670024629925
10,0,contour_filtering,"((), {})",CosChirp,10,2.10450051882607
11,0,contour_filtering,"((), {})",CosChirp,11,1.6872785838664095
12,0,contour_filtering,"((), {})",CosChirp,12,1.840817511338779
13,0,contour_filtering,"((), {})",CosChirp,13,2.145618128546256
14,0,contour_filtering,"((), {})",CosChirp,14,2.52780667257664
15,0,contour_filtering,"((), {})",CosChirp,15,2.126760904722479
16,0,contour_filtering,"((), {})",CosChirp,16,2.457938439755441
17,0,contour_filtering,"((), {})",CosChirp,17,2.0274998033845613
18,0,contour_filtering,"((), {})",CosChirp,18,1.7101311320080725
19,0,contour_filtering,"((), {})",CosChirp,19,1.7627587387500663
20,0,contour_filtering,"((), {})",CosChirp,20,2.477402153301082
21,0,contour_filtering,"((), {})",CosChirp,21,2.1939507655121178
22,0,contour_filtering,"((), {})",CosChirp,22,2.5189556751104254
23,0,contour_filtering,"((), {})",CosChirp,23,2.1913617414247186
24,0,contour_filtering,"((), {})",CosChirp,24,1.846668048217059
25,0,contour_filtering,"((), {})",CosChirp,25,2.1767233432392503
26,0,contour_filtering,"((), {})",CosChirp,26,2.174936892477543
27,0,contour_filtering,"((), {})",CosChirp,27,1.8225512165959774
28,0,contour_filtering,"((), {})",CosChirp,28,1.9726724512313984
29,0,contour_filtering,"((), {})",CosChirp,29,2.1659571149680144
30,0,contour_filtering,"((), {})",CosChirp,30,2.2466156920380893
31,0,contour_filtering,"((), {})",CosChirp,31,2.3375593799112133
32,0,contour_filtering,"((), {})",CosChirp,32,2.573801499407835
33,0,contour_filtering,"((), {})",CosChirp,33,2.183688653148118
34,0,contour_filtering,"((), {})",CosChirp,34,2.649284791812894
35,0,contour_filtering,"((), {})",CosChirp,35,1.8997030824303007
36,0,contour_filtering,"((), {})",CosChirp,36,2.735647334325697
37,0,contour_filtering,"((), {})",CosChirp,37,1.7908450566213094
38,0,contour_filtering,"((), {})",CosChirp,38,2.308800997952142
39,0,contour_filtering,"((), {})",CosChirp,39,2.3606278676355967
40,0,contour_filtering,"((), {})",CosChirp,40,1.8844361971132266
41,0,contour_filtering,"((), {})",CosChirp,41,2.4162980177384
42,0,contour_filtering,"((), {})",CosChirp,42,2.3441091156251286
43,0,contour_filtering,"((), {})",CosChirp,43,2.321029425003471
44,0,contour_filtering,"((), {})",CosChirp,44,2.278455306128417
45,0,contour_filtering,"((), {})",CosChirp,45,2.253880882803783
46,0,contour_filtering,"((), {})",CosChirp,46,1.9614355580226372
47,0,contour_filtering,"((), {})",CosChirp,47,2.215073076647428
48,0,contour_filtering,"((), {})",CosChirp,48,2.1882837993823863
49,0,contour_filtering,"((), {})",CosChirp,49,2.2223779267945982
50,0,contour_filtering,"((), {})",ExpChirp,0,1.9659058432697243
51,0,contour_filtering,"((), {})",ExpChirp,1,1.8706839333279746
52,0,contour_filtering,"((), {})",ExpChirp,2,2.250220368868282
53,0,contour_filtering,"((), {})",ExpChirp,3,2.0131670901618595
54,0,contour_filtering,"((), {})",ExpChirp,4,2.257967941049123
55,0,contour_filtering,"((), {})",ExpChirp,5,1.9260057060035942
56,0,contour_filtering,"((), {})",ExpChirp,6,2.1769223577993593
57,0,contour_filtering,"((), {})",ExpChirp,7,2.1707308635185596
58,0,contour_filtering,"((), {})",ExpChirp,8,2.266614457494767
59,0,contour_filtering,"((), {})",ExpChirp,9,1.8983296798288727
60,0,contour_filtering,"((), {})",ExpChirp,10,1.7917855758057168
61,0,contour_filtering,"((), {})",ExpChirp,11,2.4744583448491033
62,0,contour_filtering,"((), {})",ExpChirp,12,2.240690633411086
63,0,contour_filtering,"((), {})",ExpChirp,13,2.4023152741466314
64,0,contour_filtering,"((), {})",ExpChirp,14,1.99388966643357
65,0,contour_filtering,"((), {})",ExpChirp,15,2.282146930514358
66,0,contour_filtering,"((), {})",ExpChirp,16,2.2036051144979214
67,0,contour_filtering,"((), {})",ExpChirp,17,2.2262876165786696
68,0,contour_filtering,"((), {})",ExpChirp,18,2.0805472725445004
69,0,contour_filtering,"((), {})",ExpChirp,19,2.483983434285309
70,0,contour_filtering,"((), {})",ExpChirp,20,2.071321116373235
71,0,contour_filtering,"((), {})",ExpChirp,21,2.3055224427523306
72,0,contour_filtering,"((), {})",ExpChirp,22,2.1737920547377176
73,0,contour_filtering,"((), {})",ExpChirp,23,2.178947217167125
74,0,contour_filtering,"((), {})",ExpChirp,24,2.4074965490740214
75,0,contour_filtering,"((), {})",ExpChirp,25,2.016278283863188
76,0,contour_filtering,"((), {})",ExpChirp,26,2.4763109773746654
77,0,contour_filtering,"((), {})",ExpChirp,27,2.0302594521629533
78,0,contour_filtering,"((), {})",ExpChirp,28,2.085166494594505
79,0,contour_filtering,"((), {})",ExpChirp,29,2.213056294402824
80,0,contour_filtering,"((), {})",ExpChirp,30,2.79562231910972
81,0,contour_filtering,"((), {})",ExpChirp,31,2.601822270296555
82,0,contour_filtering,"((), {})",ExpChirp,32,2.2009924512088026
83,0,contour_filtering,"((), {})",ExpChirp,33,2.290707226657801
84,0,contour_filtering,"((), {})",ExpChirp,34,2.1215882652029556
85,0,contour_filtering,"((), {})",ExpChirp,35,2.221813348858552
86,0,contour_filtering,"((), {})",ExpChirp,36,2.3076608857807845
87,0,contour_filtering,"((), {})",ExpChirp,37,2.4040863764230607
88,0,contour_filtering,"((), {})",ExpChirp,38,2.110734224736505
89,0,contour_filtering,"((), {})",ExpChirp,39,2.2736652333644267
90,0,contour_filtering,"((), {})",ExpChirp,40,2.4201321018852964
91,0,contour_filtering,"((), {})",ExpChirp,41,2.3369271410089754
92,0,contour_filtering,"((), {})",ExpChirp,42,2.095616570328657
93,0,contour_filtering,"((), {})",ExpChirp,43,2.22131246022031
94,0,contour_filtering,"((), {})",ExpChirp,44,2.157013709398584
95,0,contour_filtering,"((), {})",ExpChirp,45,2.1684450150807577
96,0,contour_filtering,"((), {})",ExpChirp,46,2.5219730288836573
97,0,contour_filtering,"((), {})",ExpChirp,47,2.259837574101866
98,0,contour_filtering,"((), {})",ExpChirp,48,2.252799426964345
99,0,contour_filtering,"((), {})",ExpChirp,49,1.821504630852532
100,0,contour_filtering,"((), {})",HermiteFunction,0,1.8001762643702612
101,0,contour_filtering,"((), {})",HermiteFunction,1,2.089733586738269
102,0,contour_filtering,"((), {})",HermiteFunction,2,1.7572187179366487
103,0,contour_filtering,"((), {})",HermiteFunction,3,2.039690806315806
104,0,contour_filtering,"((), {})",HermiteFunction,4,1.9076733720805226
105,0,contour_filtering,"((), {})",HermiteFunction,5,2.323618966155065
106,0,contour_filtering,"((), {})",HermiteFunction,6,2.771678807829235
107,0,contour_filtering,"((), {})",HermiteFunction,7,2.1910115065486164
108,0,contour_filtering,"((), {})",HermiteFunction,8,2.2682781914111274
109,0,contour_filtering,"((), {})",HermiteFunction,9,2.014002842079887
110,0,contour_filtering,"((), {})",HermiteFunction,10,2.3943129489641795
111,0,contour_filtering,"((), {})",HermiteFunction,11,2.027226451822238
112,0,contour_filtering,"((), {})",HermiteFunction,12,2.3659487973788726
113,0,contour_filtering,"((), {})",HermiteFunction,13,2.7284500662847497
114,0,contour_filtering,"((), {})",HermiteFunction,14,2.2783865635050606
115,0,contour_filtering,"((), {})",HermiteFunction,15,2.61220065396933
116,0,contour_filtering,"((), {})",HermiteFunction,16,2.2570155735698014
117,0,contour_filtering,"((), {})",HermiteFunction,17,2.015100691941373
118,0,contour_filtering,"((), {})",HermiteFunction,18,2.2570140391964872
119,0,contour_filtering,"((), {})",HermiteFunction,19,2.3961551040832814
120,0,contour_filtering,"((), {})",HermiteFunction,20,2.0741949765891414
121,0,contour_filtering,"((), {})",HermiteFunction,21,2.130696619240588
122,0,contour_filtering,"((), {})",HermiteFunction,22,2.207301364615589
123,0,contour_filtering,"((), {})",HermiteFunction,23,2.5881846778189743
124,0,contour_filtering,"((), {})",HermiteFunction,24,2.133961271318581
125,0,contour_filtering,"((), {})",HermiteFunction,25,2.019949151567247
126,0,contour_filtering,"((), {})",HermiteFunction,26,2.1750052971198066
127,0,contour_filtering,"((), {})",HermiteFunction,27,2.9758805574805764
128,0,contour_filtering,"((), {})",HermiteFunction,28,2.0126692673476954
129,0,contour_filtering,"((), {})",HermiteFunction,29,1.851563658221496
130,0,contour_filtering,"((), {})",HermiteFunction,30,2.5474219639387687
131,0,contour_filtering,"((), {})",HermiteFunction,31,2.596781113438604
132,0,contour_filtering,"((), {})",HermiteFunction,32,2.1089772041141868
133,0,contour_filtering,"((), {})",HermiteFunction,33,2.4257779055161715
134,0,contour_filtering,"((), {})",HermiteFunction,34,2.003985653011976
135,0,contour_filtering,"((), {})",HermiteFunction,35,2.5156845579609843
136,0,contour_filtering,"((), {})",HermiteFunction,36,2.2768041501864786
137,0,contour_filtering,"((), {})",HermiteFunction,37,2.5116574434693484
138,0,contour_filtering,"((), {})",HermiteFunction,38,2.285588351237693
139,0,contour_filtering,"((), {})",HermiteFunction,39,2.2445373536863014
140,0,contour_filtering,"((), {})",HermiteFunction,40,2.445127569972563
141,0,contour_filtering,"((), {})",HermiteFunction,41,2.289617229202819
142,0,contour_filtering,"((), {})",HermiteFunction,42,2.224804928354373
143,0,contour_filtering,"((), {})",HermiteFunction,43,2.4254633325369026
144,0,contour_filtering,"((), {})",HermiteFunction,44,2.0279754867311373
145,0,contour_filtering,"((), {})",HermiteFunction,45,2.3813492022606892
146,0,contour_filtering,"((), {})",HermiteFunction,46,2.4285533928588574
147,0,contour_filtering,"((), {})",HermiteFunction,47,2.629455104526457
148,0,contour_filtering,"((), {})",HermiteFunction,48,2.164619074791147
149,0,contour_filtering,"((), {})",HermiteFunction,49,2.3093992326955433
150,0,contour_filtering,"((), {})",LinearChirp,0,2.168137712384974
151,0,contour_filtering,"((), {})",LinearChirp,1,2.299938659099388
152,0,contour_filtering,"((), {})",LinearChirp,2,2.09238299127862
153,0,contour_filtering,"((), {})",LinearChirp,3,2.224850644101086
154,0,contour_filtering,"((), {})",LinearChirp,4,2.312614915956352
155,0,contour_filtering,"((), {})",LinearChirp,5,2.0445910872770776
156,0,contour_filtering,"((), {})",LinearChirp,6,1.944786860872553
157,0,contour_filtering,"((), {})",LinearChirp,7,2.155686623377226
158,0,contour_filtering,"((), {})",LinearChirp,8,2.106969087294914
159,0,contour_filtering,"((), {})",LinearChirp,9,2.2290216705445265
160,0,contour_filtering,"((), {})",LinearChirp,10,2.380057433217047
161,0,contour_filtering,"((), {})",LinearChirp,11,2.173082471555958
