,Method,Parameter,Signal_id,Repetition,0,10,20,30
0,contour_filtering,"((), {})",LinearChirp,0,2.3992495061213375,12.248517787051384,22.70101295495948,31.54113908515589
1,contour_filtering,"((), {})",LinearChirp,1,2.2912856308219594,11.689932313256397,22.44190655636039,31.77248097056705
2,contour_filtering,"((), {})",LinearChirp,2,1.6756495464651828,12.410680144220049,22.649228431593563,31.837026538130388
3,contour_filtering,"((), {})",LinearChirp,3,2.251664818474991,12.438150089675009,22.832016236617644,31.72861003566708
4,contour_filtering,"((), {})",LinearChirp,4,2.5461085746122913,11.880451068011435,22.806207642849444,31.93335393853807
5,delaunay_triangulation,"((), {})",LinearChirp,0,2.4173770682288045,18.09011108418759,18.621693471856396,10.248055654141426
6,delaunay_triangulation,"((), {})",LinearChirp,1,4.323683113300491,16.291092286217538,15.84985851947093,11.438585446198752
7,delaunay_triangulation,"((), {})",LinearChirp,2,1.5169825556498933,16.329442751424537,24.87681766117621,10.846232141780245
8,delaunay_triangulation,"((), {})",LinearChirp,3,0.7132297325184699,15.517526654391638,17.02374876514445,11.320415491061912
9,delaunay_triangulation,"((), {})",LinearChirp,4,1.858740485029098,14.64284634390875,25.068850569370404,10.907205011206354
10,empty_space,"((), {})",LinearChirp,0,1.5530617442047836,16.780051896216413,24.548032956726836,33.96022169054747
11,empty_space,"((), {})",LinearChirp,1,3.8412444739399003,14.739736436345057,24.527280376759585,34.2808603868778
12,empty_space,"((), {})",LinearChirp,2,3.7997443115093055,16.025043130692886,24.30708712961045,34.1532548407359
13,empty_space,"((), {})",LinearChirp,3,0.16807171971060356,14.611447406367649,25.932643581783246,34.00817412517659
14,empty_space,"((), {})",LinearChirp,4,0.8037058523725854,15.765511770941313,25.413533233372924,35.020129184201394
15,hard_thresholding,"((), {})",LinearChirp,0,0.29877221647828694,10.284099813515912,20.318215692742907,30.57468229398475
16,hard_thresholding,"((), {})",LinearChirp,1,0.32824724403657995,10.382584721091387,20.23780736149083,30.45286998246269
17,hard_thresholding,"((), {})",LinearChirp,2,0.22290812900781515,10.33452898977831,20.45813651063827,30.40097716410409
18,hard_thresholding,"((), {})",LinearChirp,3,0.31009778111668834,10.245032822640452,20.455354120560788,30.264001931944527
19,hard_thresholding,"((), {})",LinearChirp,4,0.3381781397242325,10.247288108860204,20.33995466049388,30.405278445515734
