,Method,Parameter,Signal_id,Repetition,0,10,20,30
600,contour_filtering,"((), {})",McTripleImpulse,0,1.1999812911255576,11.822026514545932,18.98243557079743,20.89146690574873
601,contour_filtering,"((), {})",McTripleImpulse,1,1.6044494958568927,11.208451735698885,19.903227403187163,20.67250434811475
602,contour_filtering,"((), {})",McTripleImpulse,2,1.442559964485598,10.988989105102217,16.16374134792354,22.47562164173136
603,contour_filtering,"((), {})",McTripleImpulse,3,1.0113697773502182,11.63964812773761,16.68552819434205,20.351215416823123
604,contour_filtering,"((), {})",McTripleImpulse,4,1.6952505986130726,12.180292612812796,19.55044929239554,23.26582216634019
605,contour_filtering,"((), {})",McTripleImpulse,5,1.4944921104596463,11.706695638587563,16.5405393435108,21.256031931663614
606,contour_filtering,"((), {})",McTripleImpulse,6,1.7117188903785623,11.828632153534366,17.236309440505323,20.53043696736658
607,contour_filtering,"((), {})",McTripleImpulse,7,1.5744011494853571,11.980623373820261,18.967896113834783,18.564715591983965
608,contour_filtering,"((), {})",McTripleImpulse,8,0.9423363681141352,11.7915652115176,17.62066859248896,22.400282461068812
609,contour_filtering,"((), {})",McTripleImpulse,9,1.4408044988703077,11.777787186694757,19.303480796380224,22.491285601522986
610,contour_filtering,"((), {})",McTripleImpulse,10,1.4942571289713271,11.391821639945976,19.692763105691725,23.24874504587863
611,contour_filtering,"((), {})",McTripleImpulse,11,1.6233097330443627,11.107375698376377,18.557216566167146,25.711527755649264
612,contour_filtering,"((), {})",McTripleImpulse,12,1.2687583169177696,11.511989419837699,17.659473873871118,24.776473250882056
613,contour_filtering,"((), {})",McTripleImpulse,13,1.1208448980881405,11.656637684767954,19.127700093439756,23.262023839690702
614,contour_filtering,"((), {})",McTripleImpulse,14,1.5006088804785398,11.718498718726202,20.00442860538671,19.38717463511955
615,contour_filtering,"((), {})",McTripleImpulse,15,1.350552006945225,11.038521276497494,20.24669665825754,22.779386992894036
616,contour_filtering,"((), {})",McTripleImpulse,16,1.6489089040706293,11.615351866331432,21.132804217454535,23.87923780104646
617,contour_filtering,"((), {})",McTripleImpulse,17,1.457387180470494,11.214406482114892,17.069878245496138,21.955893780863253
618,contour_filtering,"((), {})",McTripleImpulse,18,1.5080719419314093,11.76338750598421,17.189974678573982,22.34736865472643
619,contour_filtering,"((), {})",McTripleImpulse,19,1.191530447495932,11.532366565182118,20.47257312324051,21.487647048878586
620,contour_filtering,"((), {})",McTripleImpulse,20,1.5873396868016814,11.360653483224834,19.919696678579864,20.923197196852993
621,contour_filtering,"((), {})",McTripleImpulse,21,1.2894126708110452,11.116965108091197,18.974429165517112,22.247035541777205
622,contour_filtering,"((), {})",McTripleImpulse,22,1.514831444150084,11.586979930675609,19.699757247058297,19.523938748935066
623,contour_filtering,"((), {})",McTripleImpulse,23,1.2797194650743617,11.171986918017268,18.263376387566932,23.85153470428948
624,contour_filtering,"((), {})",McTripleImpulse,24,1.5349808435845558,11.627510958798073,19.395648031174375,22.879134425493042
625,contour_filtering,"((), {})",McTripleImpulse,25,1.6351273473031651,11.258346427007673,19.410335823967195,22.94807027404196
626,contour_filtering,"((), {})",McTripleImpulse,26,1.354777565423415,9.773095011297286,18.824412108810378,26.99468374832219
627,contour_filtering,"((), {})",McTripleImpulse,27,1.2758399917601237,9.944569163562413,19.817219889709808,19.274204219307332
628,contour_filtering,"((), {})",McTripleImpulse,28,1.4485320324956021,11.267029790432906,18.12489562810034,26.15998505053804
629,contour_filtering,"((), {})",McTripleImpulse,29,1.4276830501305848,11.751885725935443,19.723809496874413,22.544116375700906
630,delaunay_triangulation,"((), {})",McTripleImpulse,0,1.4272133855880762,13.091212032042563,22.605201668897422,32.66236424806384
631,delaunay_triangulation,"((), {})",McTripleImpulse,1,1.471374677384617,10.777590326126834,21.44862408661193,32.296656398480806
632,delaunay_triangulation,"((), {})",McTripleImpulse,2,1.2243528159271608,10.797198756514971,22.372317303715757,31.765002859777702
633,delaunay_triangulation,"((), {})",McTripleImpulse,3,1.9829682395113903,12.5809605017524,23.448549813078476,32.70993563899245
634,delaunay_triangulation,"((), {})",McTripleImpulse,4,1.691689371905303,12.680267539811013,21.18769630313207,32.44170497421955
635,delaunay_triangulation,"((), {})",McTripleImpulse,5,1.812399427892215,12.122142924448497,23.59662688137375,33.235279122323
636,delaunay_triangulation,"((), {})",McTripleImpulse,6,0.7080918203346134,10.74770993663366,21.270516053007277,33.085572720089004
637,delaunay_triangulation,"((), {})",McTripleImpulse,7,0.7874778741380128,12.22928093608054,23.396182715977353,32.34089232245686
638,delaunay_triangulation,"((), {})",McTripleImpulse,8,1.3697125401341665,11.823745737586107,21.167814024002585,32.49519943482281
639,delaunay_triangulation,"((), {})",McTripleImpulse,9,2.030577783257833,11.96219727498702,23.780199054990277,32.424810422466535
640,delaunay_triangulation,"((), {})",McTripleImpulse,10,2.5617083353565477,12.44653017307087,22.58633946896088,32.22660697698093
641,delaunay_triangulation,"((), {})",McTripleImpulse,11,1.2342278592618592,11.631218718632113,22.622122421904997,32.44165674102542
642,delaunay_triangulation,"((), {})",McTripleImpulse,12,1.4340990056578127,11.274207882423289,23.09984924320832,32.52080888721024
643,delaunay_triangulation,"((), {})",McTripleImpulse,13,1.74685874497953,13.187168971762233,21.660882631704055,32.591551713679515
644,delaunay_triangulation,"((), {})",McTripleImpulse,14,1.70812268458371,8.990084029573902,22.805986478553606,32.24984187889466
645,delaunay_triangulation,"((), {})",McTripleImpulse,15,1.5792744795353326,11.415565310505627,22.521100145790776,32.6628939255571
646,delaunay_triangulation,"((), {})",McTripleImpulse,16,1.9428715363359168,10.804009089024385,22.752305278550523,31.789730197088907
647,delaunay_triangulation,"((), {})",McTripleImpulse,17,1.749362003783527,11.189356645448647,22.6328674057952,32.4107191592387
648,delaunay_triangulation,"((), {})",McTripleImpulse,18,2.099207230010913,11.363824931761945,21.750275849219186,32.19864096131331
649,delaunay_triangulation,"((), {})",McTripleImpulse,19,0.8753534689454037,9.224317779192742,22.63139951820512,32.649643192903376
650,delaunay_triangulation,"((), {})",McTripleImpulse,20,1.793350329435873,11.802003098483311,22.659319980740662,32.89991020420973
651,delaunay_triangulation,"((), {})",McTripleImpulse,21,2.8148554470668463,12.12665093093169,23.365069372251305,32.61561659598129
652,delaunay_triangulation,"((), {})",McTripleImpulse,22,2.19049953959473,12.390237685030641,22.93434421601233,32.965999583321384
653,delaunay_triangulation,"((), {})",McTripleImpulse,23,1.2825379760318742,11.740921623817622,21.83739755061197,32.11061096549001
654,delaunay_triangulation,"((), {})",McTripleImpulse,24,0.4426903537883298,9.885961390252477,22.161126922802488,32.56410000617259
655,delaunay_triangulation,"((), {})",McTripleImpulse,25,1.1745552930865317,9.909228054399925,23.24555532381516,32.94626389784465
656,delaunay_triangulation,"((), {})",McTripleImpulse,26,2.2276631353027168,12.277909272362955,23.04877810916766,32.67001490701378
657,delaunay_triangulation,"((), {})",McTripleImpulse,27,1.4540333236502438,10.868255436452039,23.142950463473607,32.68117380801243
658,delaunay_triangulation,"((), {})",McTripleImpulse,28,1.7571104659976153,13.017723401571736,22.085949281685238,32.47821480952118
659,delaunay_triangulation,"((), {})",McTripleImpulse,29,1.2432171025973557,11.145173991266962,22.73599275714283,32.812744361815994
660,empty_space,"((), {})",McTripleImpulse,0,1.5379123706714706,13.324479895220936,23.326084318669366,32.79960281589619
661,empty_space,"((), {})",McTripleImpulse,1,1.8660446743803112,12.515091352705483,21.775821348093274,32.915105746993085
662,empty_space,"((), {})",McTripleImpulse,2,1.610167544572042,11.125093938817283,22.970989838861424,32.23651138120057
663,empty_space,"((), {})",McTripleImpulse,3,1.7894870396830855,13.48444066206596,23.429008403410837,33.03715662440912
664,empty_space,"((), {})",McTripleImpulse,4,1.695087224295948,13.829192311579394,23.510244635687275,33.05118107289597
665,empty_space,"((), {})",McTripleImpulse,5,1.7205399576973701,13.423946467698096,23.904055346388866,33.44413428890691
666,empty_space,"((), {})",McTripleImpulse,6,0.8228495091526734,11.903629374569945,22.63703352463432,33.392346576240165
667,empty_space,"((), {})",McTripleImpulse,7,1.3718107837675386,13.26980321971382,23.281940259836652,32.99769006880247
668,empty_space,"((), {})",McTripleImpulse,8,1.4735106936085438,12.446422834874243,22.71402258219642,32.63123420008124
669,empty_space,"((), {})",McTripleImpulse,9,2.6312120884089434,13.296542882584177,23.976718198391826,32.5755026044704
670,empty_space,"((), {})",McTripleImpulse,10,2.110359299058376,13.194817685606356,22.992115722402673,32.88646076352301
671,empty_space,"((), {})",McTripleImpulse,11,1.628324140447201,11.978923321668844,23.370815365657343,33.073802977944744
672,empty_space,"((), {})",McTripleImpulse,12,1.353682883090611,12.441184621896866,23.686156404666946,33.04974168118573
673,empty_space,"((), {})",McTripleImpulse,13,1.8668842999723687,14.034989619217534,21.821728625027053,32.88693823366534
674,empty_space,"((), {})",McTripleImpulse,14,2.2099034455445294,11.346789359732892,23.040048147429367,32.869267018897844
675,empty_space,"((), {})",McTripleImpulse,15,1.9310106283000394,11.772916383498782,22.771897519753477,32.93291310399346
676,empty_space,"((), {})",McTripleImpulse,16,1.7192038572371664,13.496965113848622,23.23057854995634,32.568336833881844
677,empty_space,"((), {})",McTripleImpulse,17,1.2443055629264146,11.987944236175178,23.04254735780589,
678,empty_space,"((), {})",McTripleImpulse,18,2.2406283894824783,13.425014262042904,22.230125265386626,32.718706912500714
679,empty_space,"((), {})",McTripleImpulse,19,1.7021682860686302,12.728046887871852,23.03465655608617,32.78869573502488
