,Method,Parameter,Signal_id,Repetition,0,10,20,30
600,contour_filtering,"((), {})",ToneSharpAttack,0,2.4124189221880843,11.991674795861133,24.307789577204503,30.670848132672837
601,contour_filtering,"((), {})",ToneSharpAttack,1,2.072598764927307,12.287751372292561,22.662775278122727,31.90854094839406
602,contour_filtering,"((), {})",ToneSharpAttack,2,2.243373332997876,11.671468073858161,22.561460397093516,32.31273285386359
603,contour_filtering,"((), {})",ToneSharpAttack,3,1.8803754733752507,11.99362918673598,23.854698507537506,31.48138254494218
604,contour_filtering,"((), {})",ToneSharpAttack,4,2.419560143838741,12.39350441490128,23.012318494102466,32.14219066394925
605,contour_filtering,"((), {})",ToneSharpAttack,5,1.8724677285299376,12.542608880355369,24.184843644271425,30.04564889675081
606,contour_filtering,"((), {})",ToneSharpAttack,6,2.031852237135188,11.760349955688735,23.790265698968504,32.62799897253986
607,contour_filtering,"((), {})",ToneSharpAttack,7,2.2680597180374136,12.405250087964161,23.546081168242928,31.5146021826625
608,contour_filtering,"((), {})",ToneSharpAttack,8,2.2898585756588385,11.922937179540856,23.15955345102228,30.513448533151145
609,contour_filtering,"((), {})",ToneSharpAttack,9,2.375932378092108,12.191255537944874,21.501047715891346,32.31603331337076
610,contour_filtering,"((), {})",ToneSharpAttack,10,2.4397590555768596,12.73519263176927,23.86828350823533,29.98649518866383
611,contour_filtering,"((), {})",ToneSharpAttack,11,2.287259271558667,12.42849653087855,23.897969624210912,33.21140069179887
612,contour_filtering,"((), {})",ToneSharpAttack,12,2.111553678544607,12.241806818447433,23.660433763412023,32.350931712005334
613,contour_filtering,"((), {})",ToneSharpAttack,13,2.042192918211836,12.496173671332393,23.641544650098986,31.038384380962533
614,contour_filtering,"((), {})",ToneSharpAttack,14,2.432398651737912,12.350831570824251,23.59946521696964,31.058437535908578
615,contour_filtering,"((), {})",ToneSharpAttack,15,2.1931636131767354,12.608497146576319,23.5248889996504,31.838170025806573
616,contour_filtering,"((), {})",ToneSharpAttack,16,2.540848260318824,12.146219191411422,24.02566171348684,31.566445259034126
617,contour_filtering,"((), {})",ToneSharpAttack,17,2.3810643941788436,12.400707606386579,20.99029427668969,31.86781983413627
618,contour_filtering,"((), {})",ToneSharpAttack,18,1.9485962779856505,12.004786361948124,23.577892545242882,30.293694465767036
619,contour_filtering,"((), {})",ToneSharpAttack,19,2.3322862399827593,12.470489458893368,22.86403053628903,30.314318095842513
620,contour_filtering,"((), {})",ToneSharpAttack,20,2.2449804533806477,12.18366004266662,22.767414232637634,32.54448001331912
621,contour_filtering,"((), {})",ToneSharpAttack,21,1.9629639538944725,12.286942150640911,21.477725262192315,32.5198097070769
622,contour_filtering,"((), {})",ToneSharpAttack,22,1.9267386544361602,12.299954377735062,21.629621287349543,32.85892320430558
623,contour_filtering,"((), {})",ToneSharpAttack,23,2.477862775753568,12.40388643613697,22.433536525026227,31.877103473858448
624,contour_filtering,"((), {})",ToneSharpAttack,24,2.0304043337755835,12.5241363108637,22.049703920368692,32.266961925618425
625,contour_filtering,"((), {})",ToneSharpAttack,25,2.259656461937327,12.448747923119111,23.330270560752307,32.57147087071754
626,contour_filtering,"((), {})",ToneSharpAttack,26,2.3461001530443175,12.475511718200798,23.714281915283756,32.98163598406952
627,contour_filtering,"((), {})",ToneSharpAttack,27,1.9868493505399631,12.368598446068368,23.170344037270063,30.826346863794193
628,contour_filtering,"((), {})",ToneSharpAttack,28,2.116630705444451,12.484091011550243,23.642644250350845,31.124802333548676
629,contour_filtering,"((), {})",ToneSharpAttack,29,2.240465007597209,11.638119192216594,23.13546778340595,32.33509371604033
630,contour_filtering,"((), {})",ToneSharpAttack,30,1.893452832976499,12.550346591287376,23.596942398285876,32.33477935716717
631,contour_filtering,"((), {})",ToneSharpAttack,31,1.7954971365713037,12.203924190118133,23.943727897122145,31.296033414029193
632,contour_filtering,"((), {})",ToneSharpAttack,32,1.9439564401217615,11.97714886760962,23.17688032676132,32.47171216021475
633,contour_filtering,"((), {})",ToneSharpAttack,33,2.049853126416874,12.393738598734865,22.537428519864754,32.19905056312961
634,contour_filtering,"((), {})",ToneSharpAttack,34,1.9661398733382531,12.7374012080986,24.022792823195502,33.217341328642654
635,contour_filtering,"((), {})",ToneSharpAttack,35,2.210877626676501,12.651673786660567,23.126210043155293,31.703374960702305
636,contour_filtering,"((), {})",ToneSharpAttack,36,2.1694993510612104,11.980398072041803,24.05851595989922,28.775171090609422
637,contour_filtering,"((), {})",ToneSharpAttack,37,2.044630465908657,12.661727762499632,23.821720982867028,32.362321731093274
638,contour_filtering,"((), {})",ToneSharpAttack,38,1.635912827053318,12.533857294712629,21.72057466950086,32.317218594525606
639,contour_filtering,"((), {})",ToneSharpAttack,39,2.443656014312032,12.612697284981351,22.80947963989961,32.4268159004936
640,contour_filtering,"((), {})",ToneSharpAttack,40,2.341652300531937,12.366318603163961,22.830908049200378,30.982980476280954
641,contour_filtering,"((), {})",ToneSharpAttack,41,2.1062145074181413,12.71584416631245,23.39920577288303,31.88025525713574
642,contour_filtering,"((), {})",ToneSharpAttack,42,2.8045661790348713,12.023704242010446,23.767149528178106,33.04445980707899
643,contour_filtering,"((), {})",ToneSharpAttack,43,2.4986502714713477,11.720388856010553,21.333287561980736,29.265073376696744
644,contour_filtering,"((), {})",ToneSharpAttack,44,2.434515639396978,12.625953836657462,24.505911704236457,28.979118964581858
645,contour_filtering,"((), {})",ToneSharpAttack,45,1.9549616592902699,12.606068143099051,23.097142813382582,32.62329466655217
646,contour_filtering,"((), {})",ToneSharpAttack,46,2.2696058312477314,12.3824255241078,22.874982351335614,27.654468475087572
647,contour_filtering,"((), {})",ToneSharpAttack,47,2.0872149762436116,12.47651950422715,23.0804621148362,31.91878971629332
648,contour_filtering,"((), {})",ToneSharpAttack,48,2.3171023376319173,11.98499386571821,23.63782895985303,30.26424299480857
649,contour_filtering,"((), {})",ToneSharpAttack,49,2.409928429207611,12.466304027279332,23.890669457746164,32.101847711399365
650,delaunay_triangulation,"((), {})",ToneSharpAttack,0,6.406246761332009,15.43377336454462,23.372401494936167,31.236133911946308
651,delaunay_triangulation,"((), {})",ToneSharpAttack,1,5.83004372315072,14.641068155280315,22.064956346870858,32.04731279798239
652,delaunay_triangulation,"((), {})",ToneSharpAttack,2,3.9838080112005088,13.685351158405272,22.875475267322336,31.021457878207272
653,delaunay_triangulation,"((), {})",ToneSharpAttack,3,7.498205943752215,14.961632570746097,20.59668066619366,33.282155031235064
654,delaunay_triangulation,"((), {})",ToneSharpAttack,4,8.872939571975765,15.136385556009746,22.487153989005343,31.947259030579307
655,delaunay_triangulation,"((), {})",ToneSharpAttack,5,7.658617131339679,16.89816230392061,25.436593289101847,30.535723102975734
656,delaunay_triangulation,"((), {})",ToneSharpAttack,6,5.904557000897538,13.879845600333809,23.54256029434613,30.238170215905544
657,delaunay_triangulation,"((), {})",ToneSharpAttack,7,7.503451226229766,13.663800187819742,23.05744159903462,31.38971669004944
658,delaunay_triangulation,"((), {})",ToneSharpAttack,8,7.316507609292909,13.790738411007354,23.432168993248602,31.20880673574888
659,delaunay_triangulation,"((), {})",ToneSharpAttack,9,7.879233487895259,14.766616410636203,21.5355025523545,30.71258229830788
660,delaunay_triangulation,"((), {})",ToneSharpAttack,10,6.982442235651641,14.049720096665034,21.447485702280595,31.81670184764629
661,delaunay_triangulation,"((), {})",ToneSharpAttack,11,6.841679713887753,14.476166809960759,24.508269704689344,31.425692294053896
662,delaunay_triangulation,"((), {})",ToneSharpAttack,12,5.902087154623437,15.968614953387593,22.707675688001302,31.829271273971532
663,delaunay_triangulation,"((), {})",ToneSharpAttack,13,7.481256104544479,15.394036636681934,23.739391386618536,31.104293892944234
664,delaunay_triangulation,"((), {})",ToneSharpAttack,14,5.8819507750808135,14.078893419574579,22.05390138482475,30.709662948272456
665,delaunay_triangulation,"((), {})",ToneSharpAttack,15,6.308102048007481,15.64746826688868,21.780102591221038,31.499825504944972
666,delaunay_triangulation,"((), {})",ToneSharpAttack,16,8.022849864696667,14.329358842205842,24.595847008658886,32.169083298817014
667,delaunay_triangulation,"((), {})",ToneSharpAttack,17,0.6083195196828755,13.752144490966902,21.886398918618735,31.848430877060228
668,delaunay_triangulation,"((), {})",ToneSharpAttack,18,8.526829644624414,14.118232296013304,22.372730123182095,31.36365879516527
