,Method,Parameter,Signal_id,Repetition,-5,0,10,20
5500,contour_filtering,"((), {})",HermiteFunction,0,3.0060976222456715,3.7478989264641163,4.485032044194907,4.57592090608319
5501,contour_filtering,"((), {})",HermiteFunction,1,2.6166287528479115,4.135532151271164,4.27495183424195,4.513727618456751
5502,contour_filtering,"((), {})",HermiteFunction,2,2.691643654195796,3.982497745602619,4.542217945855015,4.519904744198416
5503,contour_filtering,"((), {})",HermiteFunction,3,2.5199312276984105,4.099966374838882,4.573212922136662,4.57282027051678
5504,contour_filtering,"((), {})",HermiteFunction,4,3.6066544471396105,4.3611410073599695,4.583820074962549,4.882596174079748
5505,contour_filtering,"((), {})",HermiteFunction,5,1.5324628423117934,3.1608156490789585,4.413316846274842,4.289220222640916
5506,contour_filtering,"((), {})",HermiteFunction,6,3.4467036524330608,4.117615213279202,4.689336103277596,4.732512204705966
5507,contour_filtering,"((), {})",HermiteFunction,7,2.776176180713383,4.034840196648561,4.482546819758889,4.408702095480144
5508,contour_filtering,"((), {})",HermiteFunction,8,1.8257100995925009,4.341179463468911,4.4432047324795025,4.376893561743791
5509,contour_filtering,"((), {})",HermiteFunction,9,2.1370067160697537,3.9954439129295514,4.683223433512837,4.562046561581231
5510,contour_filtering,"((), {})",HermiteFunction,10,1.5998303345886888,4.213952019974569,4.642685779182218,4.590149511836049
5511,contour_filtering,"((), {})",HermiteFunction,11,3.587878968741495,4.446192775845499,4.411862467954485,4.513104845209206
5512,contour_filtering,"((), {})",HermiteFunction,12,1.6604880591175402,3.8778052371720655,4.377516732283956,4.436516261516676
5513,contour_filtering,"((), {})",HermiteFunction,13,2.415266856551196,3.4628738106331043,3.306401953593375,4.53821506395416
5514,contour_filtering,"((), {})",HermiteFunction,14,3.3890027040329325,4.075903083018185,4.487879685507377,4.482078957436126
5515,contour_filtering,"((), {})",HermiteFunction,15,2.3483290131212944,4.557404852778903,4.585943568040084,4.7853123194757625
5516,contour_filtering,"((), {})",HermiteFunction,16,3.505456090378999,4.092329468938839,4.546852303112491,4.621713419449417
5517,contour_filtering,"((), {})",HermiteFunction,17,2.520587145463367,3.7285482914564967,4.378175284206875,4.522448040514754
5518,contour_filtering,"((), {})",HermiteFunction,18,3.1052644917633327,2.696469806285891,4.541039740772193,4.612065086168214
5519,contour_filtering,"((), {})",HermiteFunction,19,1.8667363293328243,3.817491787324585,4.399801747147627,4.483360094695463
5520,contour_filtering,"((), {})",HermiteFunction,20,3.5640094678816996,3.2852312704994913,4.455986487440214,4.562977600710651
5521,contour_filtering,"((), {})",HermiteFunction,21,2.20226246877587,2.6690745902978383,4.519672225845951,4.5961491509243135
5522,contour_filtering,"((), {})",HermiteFunction,22,1.518164840768554,4.414436700980458,4.456014358770185,4.548162328526928
5523,contour_filtering,"((), {})",HermiteFunction,23,1.5281126245505485,3.054009802663904,4.256531061906593,4.440058424704687
5524,contour_filtering,"((), {})",HermiteFunction,24,1.6145610710310248,3.364614709302194,4.609904577668241,4.731458311843183
5525,contour_filtering,"((), {})",HermiteFunction,25,1.0904155827765654,4.251846437522602,4.492605423018993,4.5353308739886495
5526,contour_filtering,"((), {})",HermiteFunction,26,3.1309288997202596,4.038618483984935,4.470724129421184,4.52688139270575
5527,contour_filtering,"((), {})",HermiteFunction,27,3.332849262837522,4.292153700338654,4.219535453804587,4.489849231168009
5528,contour_filtering,"((), {})",HermiteFunction,28,2.155119379943852,4.143800310530582,4.755063397811807,4.620498927870782
5529,contour_filtering,"((), {})",HermiteFunction,29,2.029800780391998,2.76890819575018,4.479798947352556,4.504538441160289
5530,contour_filtering,"((), {})",HermiteFunction,30,1.5667383470652307,3.1334784454202507,4.551813063171258,4.581481653373491
5531,contour_filtering,"((), {})",HermiteFunction,31,2.344123068278609,2.672270567184462,4.456122837721691,4.677334219501247
5532,contour_filtering,"((), {})",HermiteFunction,32,3.4526799678950515,4.269908489877944,4.577627877192233,4.456128762587439
5533,contour_filtering,"((), {})",HermiteFunction,33,1.5203406472114818,2.8518110392334584,4.638563434698189,4.432147849267178
5534,contour_filtering,"((), {})",HermiteFunction,34,2.669394712375412,3.2188603207914857,4.4792252859048345,4.533654705787326
5535,contour_filtering,"((), {})",HermiteFunction,35,2.301976767976002,3.0710795935303086,4.466725205388082,4.60431231295039
5536,contour_filtering,"((), {})",HermiteFunction,36,3.4102417919897414,4.226818275602006,4.537527013526896,4.570741917720867
5537,contour_filtering,"((), {})",HermiteFunction,37,2.9636854745236674,3.404106130370507,4.248425729155271,4.4751954288754465
5538,contour_filtering,"((), {})",HermiteFunction,38,2.4259850741135174,2.9271494133098668,3.2797236350640526,4.491562446711473
5539,contour_filtering,"((), {})",HermiteFunction,39,2.5478436213137794,3.8824970801033754,4.627035064867675,4.509914263249244
5540,contour_filtering,"((), {})",HermiteFunction,40,1.5006982936575783,4.154325016122096,4.487963272649603,4.573466419939091
5541,contour_filtering,"((), {})",HermiteFunction,41,2.4120399693472767,4.128960747660076,4.539977035480503,4.489942462287713
5542,contour_filtering,"((), {})",HermiteFunction,42,2.1504350731157014,2.6637417878823264,4.598180799368572,4.5450564039971155
5543,contour_filtering,"((), {})",HermiteFunction,43,3.3653524845634903,4.20296222579679,4.577014225079713,4.636456980476694
5544,contour_filtering,"((), {})",HermiteFunction,44,2.4587220777753847,3.9790362546678844,4.404773988613213,4.510950742889285
5545,contour_filtering,"((), {})",HermiteFunction,45,2.497612015025335,3.280899231353333,4.413240187546217,4.560016387011169
5546,contour_filtering,"((), {})",HermiteFunction,46,1.6834258634171269,3.8897252312494324,4.447326602935139,4.52287983992635
5547,contour_filtering,"((), {})",HermiteFunction,47,2.380953543695724,2.869084319068694,4.433234601051436,4.549830250649411
5548,contour_filtering,"((), {})",HermiteFunction,48,1.7767872424366185,4.283264281507951,4.602920149996516,4.532531239874392
5549,contour_filtering,"((), {})",HermiteFunction,49,2.6066573070783248,3.2486870589235446,4.668652465466949,4.6220228707846065
5550,contour_filtering,"((), {})",HermiteFunction,50,1.322958294167274,2.923732059873148,4.652307841016386,4.581151060879541
5551,contour_filtering,"((), {})",HermiteFunction,51,3.952002304193869,4.299055002015841,4.7460289681184005,4.708494867572757
5552,contour_filtering,"((), {})",HermiteFunction,52,2.1302250557748987,3.3011214050412856,4.528664262009796,4.562116984804455
5553,contour_filtering,"((), {})",HermiteFunction,53,2.4962504956711298,2.9036714770252137,4.472942796550329,4.538821688571338
5554,contour_filtering,"((), {})",HermiteFunction,54,2.6629838208323657,3.236187700657175,4.3443423582360925,4.504991234744871
5555,contour_filtering,"((), {})",HermiteFunction,55,2.406725426726959,2.623111634093689,4.481691655203699,4.604365193869453
5556,contour_filtering,"((), {})",HermiteFunction,56,1.8719697067510233,2.505636638144092,4.58876792928222,4.525865321322232
5557,contour_filtering,"((), {})",HermiteFunction,57,1.8891217058771927,4.182264100902947,4.6483613678161815,4.579760360608277
5558,contour_filtering,"((), {})",HermiteFunction,58,2.785079443119822,3.6463870006112753,4.29513953799399,4.457288292231457
5559,contour_filtering,"((), {})",HermiteFunction,59,3.216617059855846,4.198215545008757,4.790888404602953,4.634346381205913
5560,contour_filtering,"((), {})",HermiteFunction,60,3.968345146604082,4.50237080284274,4.688910721316793,4.593327288795047
5561,contour_filtering,"((), {})",HermiteFunction,61,2.7487208448375626,4.52014556672556,4.614112004938262,4.54403664791389
5562,contour_filtering,"((), {})",HermiteFunction,62,2.404451559715895,2.978729986025326,4.520329173227337,4.591545662706248
5563,contour_filtering,"((), {})",HermiteFunction,63,1.892997254240728,3.7059086036393025,4.537385642799054,4.554262993909353
5564,contour_filtering,"((), {})",HermiteFunction,64,2.3015797030834313,4.189369327470333,4.649976060415693,4.660131417301005
5565,contour_filtering,"((), {})",HermiteFunction,65,3.1371464053281484,4.1300124942654906,4.4471132562368325,4.453726533034882
5566,contour_filtering,"((), {})",HermiteFunction,66,1.8041088055544277,4.316773708940929,4.710348294244322,4.589232816759035
5567,contour_filtering,"((), {})",HermiteFunction,67,3.2097983488055086,4.344282385147933,4.532601920501386,4.544993429012745
5568,contour_filtering,"((), {})",HermiteFunction,68,2.2478000478823725,3.7349233748747728,4.5757769319370505,4.519443495861124
5569,contour_filtering,"((), {})",HermiteFunction,69,0.8586104653073158,3.03873402355249,4.4924656928068805,4.765455846422114
5570,contour_filtering,"((), {})",HermiteFunction,70,2.3316470190802057,3.021050045636165,4.310018308078492,4.66729633479786
5571,contour_filtering,"((), {})",HermiteFunction,71,0.8512760179654578,2.8460243769259854,4.575532976913373,4.595292944624273
5572,contour_filtering,"((), {})",HermiteFunction,72,2.514213498458341,3.0699736956556984,4.267318302890649,4.508102287558752
5573,contour_filtering,"((), {})",HermiteFunction,73,2.7017633683485975,4.195259927935243,4.499031544527284,4.444290830104799
5574,contour_filtering,"((), {})",HermiteFunction,74,2.3787041224889363,4.404428661119541,4.652028288375879,4.5861704226462106
5575,contour_filtering,"((), {})",HermiteFunction,75,2.1602070282932218,4.4232284110491165,4.588814216847231,4.523890205332492
5576,contour_filtering,"((), {})",HermiteFunction,76,2.75747327457226,3.1735890843785914,4.4294962303553165,4.238378521275308
5577,contour_filtering,"((), {})",HermiteFunction,77,2.7615859175805197,3.989017080713988,3.845910696268056,4.6394341277537325
5578,contour_filtering,"((), {})",HermiteFunction,78,2.9488897596976504,3.659539019505421,4.42603721664374,4.4026584095025845
5579,contour_filtering,"((), {})",HermiteFunction,79,2.7988511481364013,3.265221104984018,4.714747405612424,4.574338468263111
5580,contour_filtering,"((), {})",HermiteFunction,80,2.123544305190739,2.943059359245774,4.425638688521426,4.705834615481387
5581,contour_filtering,"((), {})",HermiteFunction,81,1.3450407013358487,4.281880876084958,4.639537394337754,4.59964159967484
5582,contour_filtering,"((), {})",HermiteFunction,82,1.6747223500479183,2.5142843185500947,4.525620140318251,4.458470048814007
5583,contour_filtering,"((), {})",HermiteFunction,83,1.5476873915648512,3.0409223363472915,4.6142566711066895,4.542115662663927
5584,contour_filtering,"((), {})",HermiteFunction,84,3.397835924694168,4.094919555072795,4.784854380411986,4.441320929596833
