,Method,Parameter,Signal_id,Repetition,-5,0,10,20
2400,brevdo_method,"((), {})",McSyntheticMixture2,0,0.5914869143525922,0.8053937750266608,0.9727924713723095,0.9977845927528064
2401,brevdo_method,"((), {})",McSyntheticMixture2,1,0.5716389695399049,0.8056628102591568,0.97345841163543,0.9973996319855055
2402,brevdo_method,"((), {})",McSyntheticMixture2,2,0.5214403146010251,0.7231227247065952,0.9706975125768693,0.997373539878804
2403,brevdo_method,"((), {})",McSyntheticMixture2,3,0.49300712070004354,0.7162850951433015,0.9700431479936689,0.9973281633431261
2404,brevdo_method,"((), {})",McSyntheticMixture2,4,0.4696435493713065,0.7840475560025536,0.9700147166373269,0.9972075477177025
2405,brevdo_method,"((), {})",McSyntheticMixture2,5,0.5861130793420909,0.7888594564319488,0.9736367864961577,0.9976153309018452
2406,brevdo_method,"((), {})",McSyntheticMixture2,6,0.5330218828306031,0.7607053209073394,0.9729945856735833,0.997578362563262
2407,brevdo_method,"((), {})",McSyntheticMixture2,7,0.5464611772239206,0.7754134374922206,0.9719164269980541,0.9975726008253725
2408,brevdo_method,"((), {})",McSyntheticMixture2,8,0.5936957238843298,0.8008610386365012,0.9737623419579742,0.9977340869483404
2409,brevdo_method,"((), {})",McSyntheticMixture2,9,0.5545735532584187,0.7907712574489043,0.97286881771939,0.9966245593029518
2410,brevdo_method,"((), {})",McSyntheticMixture2,10,0.5312523425362959,0.7768069956765189,0.9720799542379625,0.9972524293754185
2411,brevdo_method,"((), {})",McSyntheticMixture2,11,0.518338369976777,0.7864270827134715,0.9710756939548372,0.9974968376706604
2412,brevdo_method,"((), {})",McSyntheticMixture2,12,0.5810102251340679,0.795197525068222,0.9729339476316357,0.9973283300119713
2413,brevdo_method,"((), {})",McSyntheticMixture2,13,0.5187082885348319,0.775431679984998,0.9729111667510656,0.9976042312504398
2414,brevdo_method,"((), {})",McSyntheticMixture2,14,0.5660605958408389,0.7857572045513255,0.9698810368249299,0.9970727254067474
2415,brevdo_method,"((), {})",McSyntheticMixture2,15,0.5046636417062649,0.7696530315714574,0.9699497104890822,0.9974117800214323
2416,brevdo_method,"((), {})",McSyntheticMixture2,16,0.5393879919906851,0.769521868281737,0.967494557049618,0.997216696057608
2417,brevdo_method,"((), {})",McSyntheticMixture2,17,0.5187337886863285,0.780321923941157,0.9714869022512642,0.9975953995218415
2418,brevdo_method,"((), {})",McSyntheticMixture2,18,0.5707044688656487,0.7729910999023459,0.9694704040689835,0.9974367395068133
2419,brevdo_method,"((), {})",McSyntheticMixture2,19,0.6034361343903447,0.7887084661604702,0.970467102978658,0.99763547390195
2420,brevdo_method,"((), {})",McSyntheticMixture2,20,0.5236123385406789,0.7844351140645945,0.9652593625498597,0.9974100670503693
2421,brevdo_method,"((), {})",McSyntheticMixture2,21,0.5449653258917395,0.7824437993641977,0.9699906499256584,0.9973681515339289
2422,brevdo_method,"((), {})",McSyntheticMixture2,22,0.5644657411649774,0.7883883436392797,0.9750292086095723,0.9974627359565192
2423,brevdo_method,"((), {})",McSyntheticMixture2,23,0.5131490671821528,0.7760906284960235,0.9720189332516563,0.9976206834759753
2424,brevdo_method,"((), {})",McSyntheticMixture2,24,0.4774793727437907,0.7966029481420056,0.9716716872873259,0.9973586734967289
2425,brevdo_method,"((), {})",McSyntheticMixture2,25,0.5645675426272743,0.7529117105907359,0.9685028145733242,0.9974050243313501
2426,brevdo_method,"((), {})",McSyntheticMixture2,26,0.5693367827716059,0.7486914300428827,0.9733244327884844,0.9973924391800012
2427,brevdo_method,"((), {})",McSyntheticMixture2,27,0.5757458001854712,0.7924320278763576,0.9732329898999209,0.9951411736309755
2428,brevdo_method,"((), {})",McSyntheticMixture2,28,0.5141705930383423,0.7555103903580591,0.9719540302536834,0.9974139708926806
2429,brevdo_method,"((), {})",McSyntheticMixture2,29,0.5272842708091068,0.7942682511703518,0.9690449381003039,0.997473813784949
2430,brevdo_method,"((), {})",McSyntheticMixture2,30,0.5987019762592095,0.7968932544222576,0.9703970728204125,0.99746958561673
2431,brevdo_method,"((), {})",McSyntheticMixture2,31,0.5273736300583428,0.8123403251655741,0.9750343332745716,0.9969762046356013
2432,brevdo_method,"((), {})",McSyntheticMixture2,32,0.5532030537439071,0.7792714829088602,0.9712471503648703,0.997605883838517
2433,brevdo_method,"((), {})",McSyntheticMixture2,33,0.625388174080669,0.8052671622379776,0.9683320451798479,0.99780412605833
2434,brevdo_method,"((), {})",McSyntheticMixture2,34,0.4936689347374634,0.7707069708602741,0.969710710512281,0.9971430654832312
2435,brevdo_method,"((), {})",McSyntheticMixture2,35,0.6016548723090859,0.7818723087049616,0.9727753613340415,0.9976114429170981
