,Method,Parameter,Signal_id,Repetition,0,10,20,30
3550,dt,{'LB': 1.0},Signal1,0,0.11173772015820607,10.154971749109194,20.24530432673409,30.327397815083074
3551,dt,{'LB': 1.0},Signal1,1,0.1335696746531143,10.172070926679417,20.268495158427243,30.35974798746154
3552,dt,{'LB': 1.0},Signal1,2,0.1216369024764006,10.167081882974907,20.248970732649816,30.321049344683676
3553,dt,{'LB': 1.0},Signal1,3,0.11203677013177762,10.157151622028417,20.24564719919775,30.347996756635883
3554,dt,{'LB': 1.0},Signal1,4,0.103653461319079,10.155108028994139,20.2348174185741,30.3195655980468
3555,dt,{'LB': 1.0},Signal1,5,0.11155127365341079,10.156444011371022,20.248871972888853,30.34150646468643
3556,dt,{'LB': 1.0},Signal1,6,0.12624538350606113,10.17033818474069,20.256184311947486,30.349439121966505
3557,dt,{'LB': 1.0},Signal1,7,0.11894427037322003,10.158656778469018,20.257316481149232,30.3529003174638
3558,dt,{'LB': 1.0},Signal1,8,0.08669054903122073,10.128549988610864,20.21243593748737,30.313612085130167
3559,dt,{'LB': 1.0},Signal1,9,0.12306726374940904,10.164750227137187,20.260676487558165,30.350289328426907
3560,dt,{'LB': 1.0},Signal1,10,0.11209696744847061,10.16198893659407,20.26089923332814,30.325510301721902
3561,dt,{'LB': 1.0},Signal1,11,0.11178135657782877,10.153601796507282,20.23604130909268,30.329602580477616
3562,dt,{'LB': 1.0},Signal1,12,0.12057384633227125,10.162379950214916,20.251135133438957,30.334214906562558
3563,dt,{'LB': 1.0},Signal1,13,0.11960816953455908,10.166458448400741,20.24858239128493,30.336420690001596
3564,dt,{'LB': 1.0},Signal1,14,0.11635912572750151,10.15355859095434,20.237801107490206,30.314031286701038
3565,dt,{'LB': 1.0},Signal1,15,0.11965628905436398,10.166325664306314,20.262065530311048,30.345339625541094
3566,dt,{'LB': 1.0},Signal1,16,0.10495997578641654,10.155766517033385,20.243902145901266,30.34014147625657
3567,dt,{'LB': 1.0},Signal1,17,0.1401842822328869,10.18433830847762,20.25848715861887,30.356498834887425
3568,dt,{'LB': 1.0},Signal1,18,0.1031554172244741,10.148878297961295,20.230210540498934,30.34294699384864
3569,dt,{'LB': 1.0},Signal1,19,0.1177175324078991,10.170178996321578,20.261426271399273,30.350186257183047
3570,dt,{'LB': 1.0},Signal1,20,0.12748850471384748,10.17614395850284,20.25979387409784,30.354244826454938
3571,dt,{'LB': 1.0},Signal1,21,0.1094533729659462,10.15072485262781,20.235426486189855,30.306002539372912
3572,dt,{'LB': 1.0},Signal1,22,0.1267436799035426,10.17409231754053,20.249116658150683,30.34429308548402
3573,dt,{'LB': 1.0},Signal1,23,0.10812313622410542,10.153271403907635,20.22544548012226,30.344577128989457
3574,dt,{'LB': 1.0},Signal1,24,0.1043280171622344,10.148451038199301,20.23999470056379,30.332005442203155
3575,dt,{'LB': 1.0},Signal1,25,0.11210046967391685,10.164747662465835,20.240820156578657,30.272043590138583
3576,dt,{'LB': 1.0},Signal1,26,0.11626351288029,10.17112767092563,20.246889133143057,30.35630616927766
3577,dt,{'LB': 1.0},Signal1,27,0.09116494791815308,10.14040237155368,20.212418111709223,30.313387435429632
3578,dt,{'LB': 1.0},Signal1,28,0.11004075513376999,10.1540690281298,20.234923029703594,30.320305438420586
3579,dt,{'LB': 1.0},Signal1,29,0.14200800214965398,10.189746068455122,20.26933239182114,30.36350418725467
