,Method,Parameter,Signal_id,Repetition,-5,0,5,10
6200,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,0,False,False,True,True
6201,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,1,False,False,True,True
6202,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,2,False,False,True,True
6203,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,3,False,False,True,True
6204,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,4,False,False,True,True
6205,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,5,False,False,True,True
6206,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,6,False,False,True,True
6207,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,7,False,False,False,True
6208,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,8,False,False,True,True
6209,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,9,False,False,True,True
6210,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,10,True,False,False,True
6211,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,11,False,False,True,True
6212,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,12,False,False,True,True
6213,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,13,False,False,True,True
6214,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,14,False,False,True,True
6215,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,15,True,True,True,True
6216,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,16,False,False,True,True
6217,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,17,False,False,True,True
6218,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,18,False,False,True,True
6219,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,19,False,False,False,True
6220,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,20,False,False,True,True
6221,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,21,False,False,True,True
6222,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,22,False,False,True,True
6223,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,23,False,True,True,True
6224,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,24,False,True,True,True
6225,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,25,False,False,True,True
6226,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,26,False,False,True,True
6227,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,27,False,True,True,True
6228,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,28,False,False,False,True
6229,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,29,False,False,False,True
6230,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,30,False,True,True,True
6231,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,31,False,False,False,True
6232,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,32,False,False,True,True
6233,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,33,False,False,False,True
6234,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,34,False,False,True,True
6235,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,35,False,False,True,True
6236,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,36,False,False,True,True
6237,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,37,True,True,True,True
6238,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,38,False,False,True,True
6239,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,39,False,False,True,True
6240,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,40,True,True,True,True
6241,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,41,False,True,True,True
6242,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,42,False,True,True,True
6243,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,43,False,True,True,True
6244,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,44,False,False,True,True
6245,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,45,False,False,True,True
6246,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,46,True,True,True,True
6247,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,47,False,True,True,True
6248,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,48,False,False,False,True
6249,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,49,False,False,False,True
6250,global_mad_test,"{'statistic': 'Frs', 'MC_reps': 199}",LinearChirp,50,False,False,True,True
