,Method,Parameter,Signal_id,Repetition,0,10,20,30
20,contour_filtering,"((), {})",CosChirp,0,1.3581731002662187,11.562337461014847,22.205722321964153,31.68760215707043
21,contour_filtering,"((), {})",CosChirp,1,1.9807245774120328,11.701700955503744,22.312755631979236,32.9169641420121
22,contour_filtering,"((), {})",CosChirp,2,1.6920419905359485,11.207747147219255,22.605452163561427,32.03704801148153
23,contour_filtering,"((), {})",CosChirp,3,1.880130904998212,11.760075609341122,22.558539145751997,32.07893933393508
24,contour_filtering,"((), {})",CosChirp,4,1.400310217742296,11.81414185094326,22.214022774514387,32.608906139851975
25,delaunay_triangulation,"((), {})",CosChirp,0,2.5218643360434507,12.787571247918972,24.97551819891668,33.92935584205595
26,delaunay_triangulation,"((), {})",CosChirp,1,0.9657368976865931,11.679923617451779,24.012493996006825,34.54598344397434
27,delaunay_triangulation,"((), {})",CosChirp,2,0.624046156662793,11.220900522697278,24.49378047919567,34.106464838913446
28,delaunay_triangulation,"((), {})",CosChirp,3,3.0977379694867246,13.503084362897027,25.193442694815946,33.93985931493293
29,delaunay_triangulation,"((), {})",CosChirp,4,0.6039604454562489,5.338918265046146,24.686056152999395,34.751669694239766
30,empty_space,"((), {})",CosChirp,0,1.644629206110846,15.286739343636293,25.08031883496089,33.395085067063036
31,empty_space,"((), {})",CosChirp,1,2.1838358126561355,11.359384556548008,23.957045979882864,34.21539296771083
32,empty_space,"((), {})",CosChirp,2,0.8017072324968926,11.613210796515066,24.394673460995257,33.30000643068141
33,empty_space,"((), {})",CosChirp,3,4.0737911810591605,15.55204050867474,25.788996867983556,32.62160418294123
34,empty_space,"((), {})",CosChirp,4,2.0200422239290328,12.686817355622697,24.288443608169818,33.99337140782877
35,hard_thresholding,"((), {})",CosChirp,0,4.668274695000865,17.538320726497098,26.298792626362566,35.357726154130354
36,hard_thresholding,"((), {})",CosChirp,1,5.558296395856887,16.559634106553418,26.69556379860235,36.522561810658445
37,hard_thresholding,"((), {})",CosChirp,2,4.588703372293844,16.28304741652049,25.70264247580624,36.04772353361863
38,hard_thresholding,"((), {})",CosChirp,3,7.766608454692486,16.729208969457563,26.901760376426704,35.45358425636879
39,hard_thresholding,"((), {})",CosChirp,4,6.05251738751564,18.45420474412912,27.07415233812805,36.11289112751136
