,Method,Parameter,Signal_id,Repetition,0,10,20,30
200,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,0,1.17325859584543,11.273575803855227,21.590379011082355,31.221399488746226
201,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,1,1.3530137387386816,10.929983000664514,21.380330493204838,31.215636488673084
202,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,2,1.1909609238190935,11.047061008438291,21.486320117871788,31.591624246244216
203,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,3,1.112152004393296,11.39424053828926,21.282456495014216,31.288806584954337
204,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,4,1.3589103853932425,11.473574355789184,21.33482184363135,31.604457554620453
205,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,5,1.067873175036884,11.428462512165847,21.24484885095879,31.646529010771683
206,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,6,1.341230875533395,11.268347810500284,21.68813900803181,31.474522529068103
207,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,7,1.2907649826433918,11.064726899065022,21.297695753040266,31.365914177065854
208,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,8,1.2698271858191075,11.36878247817645,21.312485557883434,31.253243567556513
209,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,9,1.6494132231905103,11.346236019759672,21.34219317683927,31.468229047962506
210,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,10,1.4296214514393237,11.364293162383357,21.44825627622538,31.37151431498789
211,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,11,1.3490041889580775,11.30918909066523,21.707276645032692,31.635765342754773
212,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,12,1.3886199268417931,11.294936423377319,21.558813007562225,31.36866907965336
213,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,13,1.295923295857442,11.471752171957192,21.404524990436492,31.108261689060498
214,hard_thresholding,{'coeff': 1.0},McParallelChirpsUnbalanced,14,1.3741631645947594,11.479489552501942,21.42526492516023,31.241318408928205
