,Method,Parameter,Signal_id,Repetition,0,10,20,30
1200,contour_filtering,None,ToneSharpAttack,0,1.5126637330068349,11.48284641688885,22.275276971667225,32.91947605863305
1201,contour_filtering,None,ToneSharpAttack,1,1.4981973911170754,11.513003614245214,21.634331929886606,32.944079656077754
1202,contour_filtering,None,ToneSharpAttack,2,1.7371071660482222,11.715656178468038,22.838439795577084,32.013800246900345
1203,contour_filtering,None,ToneSharpAttack,3,1.5666763066775433,11.229567338868485,22.830533770976512,32.83919743135434
1204,contour_filtering,None,ToneSharpAttack,4,1.5021346132854227,11.384442797145184,21.730199619988685,32.88793597471778
1205,contour_filtering,None,ToneSharpAttack,5,1.4792922912036817,11.531028641419542,22.288089722619304,33.151729728146464
1206,contour_filtering,None,ToneSharpAttack,6,1.6101685736127902,11.540172012459493,22.675822806487687,32.37201681894789
1207,contour_filtering,None,ToneSharpAttack,7,1.455976603187977,11.649667677937598,22.959585887682906,32.37294841363787
1208,contour_filtering,None,ToneSharpAttack,8,1.5416676961563958,11.317799945261083,22.277903968972122,32.11684441976538
1209,contour_filtering,None,ToneSharpAttack,9,1.5198130819029392,11.529999527659838,22.51746079403008,32.79105769032224
1210,contour_filtering,None,ToneSharpAttack,10,1.4222526999505098,11.788172670003206,22.19994198706558,32.41489183660419
1211,contour_filtering,None,ToneSharpAttack,11,1.4888913494453495,11.364085698866946,22.61570092781515,32.515764602663985
1212,contour_filtering,None,ToneSharpAttack,12,1.4662890070381764,11.692699273657169,21.565112907026524,32.368714365564564
1213,contour_filtering,None,ToneSharpAttack,13,1.2912757653360178,11.669755178339496,22.804116310020312,32.820369032911096
1214,contour_filtering,None,ToneSharpAttack,14,1.317930403104472,11.533119304079321,22.487701049443075,32.56815523710548
1215,contour_filtering,None,ToneSharpAttack,15,2.0229602555232655,11.473983981651239,22.37124815058554,32.43719031019267
1216,contour_filtering,None,ToneSharpAttack,16,1.4306404833807278,11.871987492497437,22.243872299557115,32.930347248906585
1217,contour_filtering,None,ToneSharpAttack,17,1.56594719582421,11.57979426363666,21.575236165125297,33.03879688600118
1218,contour_filtering,None,ToneSharpAttack,18,1.7305246152708413,11.537305368542714,22.87850900717605,32.55512514087346
1219,contour_filtering,None,ToneSharpAttack,19,1.6069468491889762,12.003635915251941,20.9831265869197,32.47184618213633
1220,contour_filtering,None,ToneSharpAttack,20,1.7009126930044012,11.4960917722568,22.69194462985319,32.645746683968675
1221,contour_filtering,None,ToneSharpAttack,21,1.254071209402071,11.806358476832301,22.840910517596868,32.576982497536655
1222,contour_filtering,None,ToneSharpAttack,22,1.4948919704579517,11.55615004670129,22.63996108975543,32.58280795185385
1223,contour_filtering,None,ToneSharpAttack,23,1.5849050998344985,11.47446284791677,22.237967692751234,32.302271612044095
1224,contour_filtering,None,ToneSharpAttack,24,1.4529368946363985,11.844366484834385,22.79496989474638,32.49179001202222
1225,contour_filtering,None,ToneSharpAttack,25,1.5377780908259528,11.483381682084456,22.9193794070115,32.53517885428839
